Date,DayOfWeek,Source,SeriesTitle,Domain,Author,NewsletterType,PrimaryFocus,SpecificTags,PreviousYearRelease,InternetSourceSupport
20250401,Tuesday,JPM,US Market Intell Morning Briefing,Banking Team,Market Strategy Group,Daily,Market Analysis,"briefing,morning,market intelligence",Yes,Available
20250401,Tuesday,JPM,International Market Intell Morning Digest,Banking Team,Global Markets Research,Daily,Global Markets,"digest,international,market trends",Yes,Available
20250401,Tuesday,Goldman,Market Intelligence US Morning Update,Investment Team,US Economics Research,Daily,Market Analysis,"intelligence,morning,equities",Yes,Available
20250401,Tuesday,Goldman,US Economics Analyst,Investment Team,Jan Hatzius,Weekly,Economic Data,"economics,analyst,outlook",Yes,Available
20250401,Tuesday,BofA,Global Fund Manager Survey,Market Analysis Team,Equity Strategy Group,Monthly,Investor Sentiment,"survey,fund manager,positioning",Yes,Available
20250401,Tuesday,Morgan Stanley,Global Strategy Outlook,Research Team,Andrew Sheets,Quarterly,Market Forecast,"global,strategy,Q2 2025",Yes,Available
20250401,Tuesday,Citi,Early Morning Thoughts,Research Team,Equity Research,Daily,Market Analysis,"early,thoughts,pre-market",Yes,Available
20250401,Tuesday,Barclays,The Early Cut,Research Team,Research Division,Daily,Market Preview,"early,preview,trading",Yes,Available
20250401,Tuesday,Credit Agricole,FX Daily,Research Team,FX Strategy Group,Daily,Currency Markets,"fx,daily,trends",Yes,Available
20250401,Tuesday,JPM,US Market Intell Afternoon Briefing,Banking Team,Market Strategy Group,Daily,Market Recap,"afternoon,briefing,market moves",Yes,Available
20250401,Tuesday,SocGen,Albert Edwards' Global Strategy,Research Team,Albert Edwards,Occasional,Contrarian View,"macro,strategy,bearish",Yes,Available
20250401,Tuesday,MUFG,Daily Market Update,Research Team,Global Markets Division,Daily,Market Analysis,"daily,market,update",Yes,Available
20250402,Wednesday,SocGen,Morning Briefing,Research Team,Equity Research,Daily,Market Analysis,"morning,briefing,strategy",Yes,Available
20250402,Wednesday,Barclays,Americas Morning Research Summary,Research Team,Americas Research,Daily,Regional Focus,"americas,morning,summary",Yes,Available
20250402,Wednesday,Barclays,European Morning Research Summary,Research Team,European Research,Daily,Regional Focus,"european,morning,summary",Yes,Available
20250402,Wednesday,Goldman,European Economics Analyst,Investment Team,European Economics,Weekly,Economic Data,"european,economics,analyst",Yes,Available
20250402,Wednesday,Morgan Stanley,Global FX Outlook,Research Team,FX Strategy,Weekly,Currency Markets,"fx,global,outlook",Yes,Available
20250402,Wednesday,JPM,Asia Pacific Equity Research,Banking Team,APAC Research Group,Weekly,Regional Focus,"asia,pacific,equity",Yes,Available
20250402,Wednesday,TS Lombard,Global Leading Indicators,Research Team,Macro Research Group,Monthly,Economic Data,"leading,indicators,global",Yes,Available
20250402,Wednesday,ING,FX Daily,Research Team,FX Research,Daily,Currency Markets,"fx,daily,commentary",Yes,Available
20250403,Thursday,Goldman,Markets,Investment Team,Lauren Rowe,Daily,Market Analysis,"markets,trading,equity",Yes,Available
20250403,Thursday,Goldman,GS TMT SPEC SALES,Investment Team,TMT Research Group,Daily,Sector Focus,"tech,media,telecom",Yes,Available
20250403,Thursday,Citi,Market Intelligence,Research Team,Markets Group,Daily,Market Analysis,"intelligence,market,recap",Yes,Available
20250403,Thursday,Morgan Stanley,Equity Research Morning Notes,Research Team,Equity Research,Daily,Stock Analysis,"equity,morning,notes",Yes,Available
20250403,Thursday,MUFG,Daily Market Update,Research Team,Markets Division,Daily,Market Analysis,"daily,update,trading",Yes,Available
20250403,Thursday,JPM,US Economic Research Note,Banking Team,Economics Research,Weekly,Economic Data,"economic,research,US data",Yes,Available
20250403,Thursday,Goldman,US Weekly Kickstart,Investment Team,David Kostin,Weekly,Market Strategy,"weekly,kickstart,positioning",Yes,Available
